img,bit_acc_none,word_acc_none,bit_acc_crop_05,word_acc_crop_05,bit_acc_crop_01,word_acc_crop_01,bit_acc_rot_25,word_acc_rot_25,bit_acc_rot_90,word_acc_rot_90,bit_acc_jpeg_80,word_acc_jpeg_80,bit_acc_jpeg_50,word_acc_jpeg_50,bit_acc_brightness_1p5,word_acc_brightness_1p5,bit_acc_brightness_2,word_acc_brightness_2,bit_acc_contrast_1p5,word_acc_contrast_1p5,bit_acc_contrast_2,word_acc_contrast_2,bit_acc_saturation_1p5,word_acc_saturation_1p5,bit_acc_saturation_2,word_acc_saturation_2,bit_acc_sharpness_1p5,word_acc_sharpness_1p5,bit_acc_sharpness_2,word_acc_sharpness_2,bit_acc_resize_05,word_acc_resize_05,bit_acc_resize_01,word_acc_resize_01,bit_acc_overlay_text,word_acc_overlay_text,bit_acc_comb,word_acc_comb
0,0.9375,0.0,0.8541666865348816,0.0,0.7708333730697632,0.0,0.5625,0.0,0.4583333432674408,0.0,0.875,0.0,0.8333333730697632,0.0,0.75,0.0,0.7291666865348816,0.0,0.8125,0.0,0.7916666865348816,0.0,0.9166666865348816,0.0,0.8958333730697632,0.0,0.9375,0.0,0.9583333730697632,0.0,0.75,0.0,0.3333333432674408,0.0,0.9166666865348816,0.0,0.7708333730697632,0.0
1,0.9166666865348816,0.0,0.9166666865348816,0.0,0.8333333730697632,0.0,0.625,0.0,0.4166666865348816,0.0,0.9375,0.0,0.7916666865348816,0.0,0.9166666865348816,0.0,0.8958333730697632,0.0,0.9166666865348816,0.0,0.8541666865348816,0.0,0.9166666865348816,0.0,0.9375,0.0,0.9166666865348816,0.0,0.9166666865348816,0.0,0.7708333730697632,0.0,0.4791666865348816,0.0,0.9166666865348816,0.0,0.8125,0.0
2,0.9375,0.0,0.9375,0.0,0.7708333730697632,0.0,0.625,0.0,0.4583333432674408,0.0,0.875,0.0,0.7916666865348816,0.0,0.8333333730697632,0.0,0.7916666865348816,0.0,0.8541666865348816,0.0,0.8541666865348816,0.0,0.9583333730697632,0.0,0.9375,0.0,0.9583333730697632,0.0,0.9583333730697632,0.0,0.7916666865348816,0.0,0.4583333432674408,0.0,0.8958333730697632,0.0,0.875,0.0
3,0.875,0.0,0.8541666865348816,0.0,0.7708333730697632,0.0,0.625,0.0,0.375,0.0,0.8333333730697632,0.0,0.8333333730697632,0.0,0.75,0.0,0.7708333730697632,0.0,0.7916666865348816,0.0,0.7916666865348816,0.0,0.8541666865348816,0.0,0.8333333730697632,0.0,0.875,0.0,0.8958333730697632,0.0,0.8333333730697632,0.0,0.5625,0.0,0.875,0.0,0.7916666865348816,0.0
4,0.9166666865348816,0.0,0.9166666865348816,0.0,0.8333333730697632,0.0,0.6041666865348816,0.0,0.4791666865348816,0.0,0.8958333730697632,0.0,0.875,0.0,0.8125,0.0,0.7708333730697632,0.0,0.7708333730697632,0.0,0.7083333730697632,0.0,0.9166666865348816,0.0,0.9166666865348816,0.0,0.9166666865348816,0.0,0.9375,0.0,0.7916666865348816,0.0,0.5,0.0,0.9166666865348816,0.0,0.75,0.0
5,0.9583333730697632,0.0,0.9375,0.0,0.5625,0.0,0.6041666865348816,0.0,0.2916666865348816,0.0,0.8958333730697632,0.0,0.875,0.0,0.9166666865348816,0.0,0.7916666865348816,0.0,0.9375,0.0,0.8125,0.0,0.9375,0.0,0.9583333730697632,0.0,0.9583333730697632,0.0,0.9583333730697632,0.0,0.7708333730697632,0.0,0.3333333432674408,0.0,0.9583333730697632,0.0,0.7708333730697632,0.0
6,0.9583333730697632,0.0,0.9583333730697632,0.0,0.8125,0.0,0.5625,0.0,0.4583333432674408,0.0,0.9166666865348816,0.0,0.8125,0.0,0.875,0.0,0.8333333730697632,0.0,0.8958333730697632,0.0,0.8125,0.0,0.9375,0.0,0.9166666865348816,0.0,0.9583333730697632,0.0,0.9583333730697632,0.0,0.7916666865348816,0.0,0.5833333730697632,0.0,0.9583333730697632,0.0,0.8125,0.0
7,0.9791666865348816,0.0,0.9583333730697632,0.0,0.8541666865348816,0.0,0.5416666865348816,0.0,0.4791666865348816,0.0,0.9791666865348816,0.0,0.9166666865348816,0.0,0.9583333730697632,0.0,0.8958333730697632,0.0,0.8958333730697632,0.0,0.7916666865348816,0.0,0.9583333730697632,0.0,0.9583333730697632,0.0,1.0,1.0,1.0,1.0,0.8958333730697632,0.0,0.6458333730697632,0.0,1.0,1.0,0.9166666865348816,0.0
8,0.9583333730697632,0.0,0.9375,0.0,0.75,0.0,0.5625,0.0,0.4375,0.0,0.9375,0.0,0.9166666865348816,0.0,0.8541666865348816,0.0,0.7708333730697632,0.0,0.8541666865348816,0.0,0.7708333730697632,0.0,0.9583333730697632,0.0,0.9583333730697632,0.0,0.9583333730697632,0.0,0.9791666865348816,0.0,0.8958333730697632,0.0,0.6666666865348816,0.0,0.9791666865348816,0.0,0.8125,0.0
9,0.9375,0.0,0.9583333730697632,0.0,0.7291666865348816,0.0,0.5833333730697632,0.0,0.4166666865348816,0.0,0.8958333730697632,0.0,0.8333333730697632,0.0,0.7916666865348816,0.0,0.7708333730697632,0.0,0.875,0.0,0.8333333730697632,0.0,0.9166666865348816,0.0,0.875,0.0,0.9791666865348816,0.0,0.9791666865348816,0.0,0.7291666865348816,0.0,0.4166666865348816,0.0,0.9375,0.0,0.8541666865348816,0.0
